scene_file,material,effect,script,resource_slot,logical_texture
baskets.SCNE,basket_stanchioni2_nba:shotclock_digits_grey_mat,asset.fx#63c32421edbabd9e,asset.4b62abe3e9a15eaa.script,AlbedoMap,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_c.tga
baskets.SCNE,basket_stanchioni2_nba:shotclock_digits_grey_mat,asset.fx#63c32421edbabd9e,asset.4b62abe3e9a15eaa.script,NormalAndRoughMap,NormalAndRoughMap#6176bddc_1623
baskets.SCNE,basket_stanchioni2_nba:padding_base_sides_mat,asset.fx#6e0fe052a62dce38,asset.8c305494708b2f67.script,NormalMap,%databuild_art_root%/material_library/_generic_textures/surface_variations/surface_variation_fractalsumbase_normal.png
baskets.SCNE,basket_stanchioni2_nba:padding_base_sides_mat,asset.fx#6e0fe052a62dce38,asset.8c305494708b2f67.script,TextureBasedNoiseMap,%databuild_art_root%/general/defaults/shader_referenced_textures/texturebasednoise/linear_pixel_noise_midtomin/linear_pixel_noise_midtomin.dds
baskets.SCNE,basket_stanchioni2_nba:shot_dig10,asset.fx#9a6f2419c1c30297,asset.415ec2a990131817.script,AlbedoMap,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_timeout_c.tga
baskets.SCNE,basket_stanchioni2_nba:shot_dig10,asset.fx#9a6f2419c1c30297,asset.415ec2a990131817.script,NormalMap,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_n.tga
baskets.SCNE,basket_stanchioni2_nba:backboard_pad_mat,asset.fx#de4daf4a9d08e600,asset.6f8158a5fad3a287.script,AddOn1NormalMap,%databuild_art_root%/asset_library/basket_stanchion_all/texture/basket_stanchioni_nba_backboard_n.png
baskets.SCNE,basket_stanchioni2_nba:backboard_pad_mat,asset.fx#de4daf4a9d08e600,asset.6f8158a5fad3a287.script,AddOn1Sampler,
baskets.SCNE,basket_stanchioni2_nba:backboard_pad_mat,asset.fx#de4daf4a9d08e600,asset.6f8158a5fad3a287.script,AddOn3RoughMap,%databuild_art_root%/material_library/_generic_textures/grunges/substanceprocedural_grunge_surface_001.tga
baskets.SCNE,basket_stanchioni2_nba:backboard_pad_mat,asset.fx#de4daf4a9d08e600,asset.6f8158a5fad3a287.script,AddOn3Sampler,
