scene_file,model,mesh,material,primitive_type,index_count,radius,min,max,index_binary,vertex_binaries
baskets.SCNE,arena_clutchtime_int_master@GameObjects@MAIN@basket0:glass,glass_shotclock_controller_geo3Shape,basket_stanchioni2_nba:glass_backboard_mat,TRIANGLE_LIST,78,321.318726,"[-91.2656174,34.498806,-463.581757]","[89.0743866,522.365417,0.031921387]",IndexBuffer.51ed9667055f7b41.bin,VertexBuffer.53e22477fb59a80a.bin;VertexBuffer.896a75cc5eec7080.bin;VertexBuffer.0c64554d1de5c384.bin
baskets.SCNE,arena_clutchtime_int_master@GameObjects@MAIN@basket0:glass,glass_shotclock_primary_geo3Shape,,,12,321.318726,"[-91.2656174,34.498806,-463.581757]","[89.0743866,522.365417,0.031921387]",IndexBuffer.51ed9667055f7b41.bin,VertexBuffer.53e22477fb59a80a.bin;VertexBuffer.896a75cc5eec7080.bin;VertexBuffer.0c64554d1de5c384.bin
baskets.SCNE,arena_clutchtime_int_master@GameObjects@MAIN@basket0:glass,glass_shotclock_secondary_geo3Shape,,,12,321.318726,"[-91.2656174,34.498806,-463.581757]","[89.0743866,522.365417,0.031921387]",IndexBuffer.51ed9667055f7b41.bin,VertexBuffer.53e22477fb59a80a.bin;VertexBuffer.896a75cc5eec7080.bin;VertexBuffer.0c64554d1de5c384.bin
baskets.SCNE,arena_clutchtime_int_master@GameObjects@MAIN@basket0:glass,glass_backboard_arena_geo3Shape,,,12,321.318726,"[-91.2656174,34.498806,-463.581757]","[89.0743866,522.365417,0.031921387]",IndexBuffer.51ed9667055f7b41.bin,VertexBuffer.53e22477fb59a80a.bin;VertexBuffer.896a75cc5eec7080.bin;VertexBuffer.0c64554d1de5c384.bin
baskets.SCNE,arena_clutchtime_int_master@GameObjects@MAIN@basket0:basket,stanchion_i_geo3Shape,basket_stanchioni2_nba:stanchion_metal_paint_charcoal_mat,TRIANGLE_LIST,3654,358.312958,"[-94.7033539,-0.551921308,-516.983459]","[94.7033539,534.952148,62.3042221]",IndexBuffer.2faa94a692eecb55.gz,VertexBuffer.396eff6e2f806326.gz;VertexBuffer.c7008f082a4e24dd.gz;VertexBuffer.8d2e607c050161de.gz
baskets.SCNE,arena_clutchtime_int_master@GameObjects@MAIN@basket0:basket,,basket_stanchioni2_nba:487f6159:backboard_chrome_white_mat,,3294,358.312958,"[-94.7033539,-0.551921308,-516.983459]","[94.7033539,534.952148,62.3042221]",IndexBuffer.2faa94a692eecb55.gz,VertexBuffer.396eff6e2f806326.gz;VertexBuffer.c7008f082a4e24dd.gz;VertexBuffer.8d2e607c050161de.gz
baskets.SCNE,arena_clutchtime_int_master@GameObjects@MAIN@basket0:basket,,basket_stanchioni2_nba:metal_metal_paint_charcoal_dull_mat,,11406,358.312958,"[-94.7033539,-0.551921308,-516.983459]","[94.7033539,534.952148,62.3042221]",IndexBuffer.2faa94a692eecb55.gz,VertexBuffer.396eff6e2f806326.gz;VertexBuffer.c7008f082a4e24dd.gz;VertexBuffer.8d2e607c050161de.gz
baskets.SCNE,arena_clutchtime_int_master@GameObjects@MAIN@basket0:basket,,basket_stanchioni2_nba:bracket_metal_powder_mat,,3720,358.312958,"[-94.7033539,-0.551921308,-516.983459]","[94.7033539,534.952148,62.3042221]",IndexBuffer.2faa94a692eecb55.gz,VertexBuffer.396eff6e2f806326.gz;VertexBuffer.c7008f082a4e24dd.gz;VertexBuffer.8d2e607c050161de.gz
baskets.SCNE,arena_clutchtime_int_master@GameObjects@MAIN@basket0:basket,,basket_stanchioni2_nba:bracket_chrome_midgray_mat,,8256,358.312958,"[-94.7033539,-0.551921308,-516.983459]","[94.7033539,534.952148,62.3042221]",IndexBuffer.2faa94a692eecb55.gz,VertexBuffer.396eff6e2f806326.gz;VertexBuffer.c7008f082a4e24dd.gz;VertexBuffer.8d2e607c050161de.gz
baskets.SCNE,arena_clutchtime_int_master@GameObjects@MAIN@basket0:basket,,basket_stanchioni2_nba:metal_chrome_shiny_mat,,28872,358.312958,"[-94.7033539,-0.551921308,-516.983459]","[94.7033539,534.952148,62.3042221]",IndexBuffer.2faa94a692eecb55.gz,VertexBuffer.396eff6e2f806326.gz;VertexBuffer.c7008f082a4e24dd.gz;VertexBuffer.8d2e607c050161de.gz
baskets.SCNE,arena_clutchtime_int_master@GameObjects@MAIN@basket0:basket,,basket_stanchioni2_nba:plastic_coarse_black_mat,,4680,358.312958,"[-94.7033539,-0.551921308,-516.983459]","[94.7033539,534.952148,62.3042221]",IndexBuffer.2faa94a692eecb55.gz,VertexBuffer.396eff6e2f806326.gz;VertexBuffer.c7008f082a4e24dd.gz;VertexBuffer.8d2e607c050161de.gz
baskets.SCNE,arena_clutchtime_int_master@GameObjects@MAIN@basket0:basket,stanchion_i_backboard_wires_geo3Shape,,,8154,358.312958,"[-94.7033539,-0.551921308,-516.983459]","[94.7033539,534.952148,62.3042221]",IndexBuffer.2faa94a692eecb55.gz,VertexBuffer.396eff6e2f806326.gz;VertexBuffer.c7008f082a4e24dd.gz;VertexBuffer.8d2e607c050161de.gz
baskets.SCNE,arena_clutchtime_int_master@GameObjects@MAIN@basket0:basket,stanchion_i_padding_upright_logos_geo2Shape,basket_stanchioni2_nba:padding_base_sides_mat,,1383,358.312958,"[-94.7033539,-0.551921308,-516.983459]","[94.7033539,534.952148,62.3042221]",IndexBuffer.2faa94a692eecb55.gz,VertexBuffer.396eff6e2f806326.gz;VertexBuffer.c7008f082a4e24dd.gz;VertexBuffer.8d2e607c050161de.gz
baskets.SCNE,arena_clutchtime_int_master@GameObjects@MAIN@basket0:basket,,basket_stanchioni2_nba:17c4a8d6:padding_base_front_mat,,924,358.312958,"[-94.7033539,-0.551921308,-516.983459]","[94.7033539,534.952148,62.3042221]",IndexBuffer.2faa94a692eecb55.gz,VertexBuffer.396eff6e2f806326.gz;VertexBuffer.c7008f082a4e24dd.gz;VertexBuffer.8d2e607c050161de.gz
baskets.SCNE,arena_clutchtime_int_master@GameObjects@MAIN@basket0:basket,,basket_stanchioni2_nba:8851661a:padding_logo_upright_front_mat,,486,358.312958,"[-94.7033539,-0.551921308,-516.983459]","[94.7033539,534.952148,62.3042221]",IndexBuffer.2faa94a692eecb55.gz,VertexBuffer.396eff6e2f806326.gz;VertexBuffer.c7008f082a4e24dd.gz;VertexBuffer.8d2e607c050161de.gz
baskets.SCNE,arena_clutchtime_int_master@GameObjects@MAIN@basket0:basket,,basket_stanchioni2_nba:6a4e4e89:padding_logo_upright_sides_mat,,675,358.312958,"[-94.7033539,-0.551921308,-516.983459]","[94.7033539,534.952148,62.3042221]",IndexBuffer.2faa94a692eecb55.gz,VertexBuffer.396eff6e2f806326.gz;VertexBuffer.c7008f082a4e24dd.gz;VertexBuffer.8d2e607c050161de.gz
