scene_file,object,type,target,transform,matrix
baskets.SCNE,arena_clutchtime_int_master@GameObjects@MAIN@basket0:basket,OBJECT,arena_clutchtime_int_master@GameObjects@MAIN@basket0:basket,arena_clutchtime_int_master@GameObjects@MAIN@basket0:|basket_stanchioni2_nba_low|basket|basketpivot,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1310.64001,1.0]"
baskets.SCNE,arena_clutchtime_int_master@GameObjects@MAIN@basket0:glass,OBJECT,arena_clutchtime_int_master@GameObjects@MAIN@basket0:glass,arena_clutchtime_int_master@GameObjects@MAIN@basket0:|basket_stanchioni2_nba_low|glass|basketpivot,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1310.64001,1.0]"
baskets.SCNE,arena_clutchtime_int_master@GameObjects@MAIN@basket0:rimr,OBJECT,arena_clutchtime_int_master@GameObjects@MAIN@basket0:rimr,arena_clutchtime_int_master@GameObjects@MAIN@basket0:|basket_stanchioni2_nba_low|rimr|rimpivot,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1310.64001,1.0]"
baskets.SCNE,arena_clutchtime_int_master@GameObjects@MAIN@basket1:basket,OBJECT,arena_clutchtime_int_master@GameObjects@MAIN@basket0:basket,arena_clutchtime_int_master@GameObjects@MAIN@basket1:|basket_stanchioni2_nba_low|basket|basketpivot,"[-1.0,0.0,8.74227766e-08,0.0,0.0,1.0,0.0,0.0,-8.74227766e-08,0.0,-1.0,0.0,0.0,0.0,1310.64001,1.0]"
baskets.SCNE,arena_clutchtime_int_master@GameObjects@MAIN@basket1:glass,OBJECT,arena_clutchtime_int_master@GameObjects@MAIN@basket0:glass,arena_clutchtime_int_master@GameObjects@MAIN@basket1:|basket_stanchioni2_nba_low|glass|basketpivot,"[-1.0,0.0,8.74227766e-08,0.0,0.0,1.0,0.0,0.0,-8.74227766e-08,0.0,-1.0,0.0,0.0,0.0,1310.64001,1.0]"
baskets.SCNE,arena_clutchtime_int_master@GameObjects@MAIN@basket1:rimr,OBJECT,arena_clutchtime_int_master@GameObjects@MAIN@basket0:rimr,arena_clutchtime_int_master@GameObjects@MAIN@basket1:|basket_stanchioni2_nba_low|rimr|rimpivot,"[-1.0,0.0,8.74227766e-08,0.0,0.0,1.0,0.0,0.0,-8.74227766e-08,0.0,-1.0,0.0,0.0,0.0,1310.64001,1.0]"
baskets.SCNE,MAIN,MARKER,,,[]
crowd.SCNE,crowd_cards,OBJECT,crowd_cards,Root,[]
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_chairs@chair_arenacrowd_seatbackcushion_85:chair_arenacrowd_seatbackcushion_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_chairs@chair_arenacrowd_seatbackcushion_85:chair_arenacrowd_seatbackcushion_low,,"[-1.0,-8.74227766e-08,0.0,0.0,-8.74227766e-08,1.0,-8.74227766e-08,0.0,7.64274186e-15,-8.74227766e-08,-1.0,0.0,-107.239067,1375.11304,2650.51196,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony@clutchtime_balcony_railing_12:clutchtime_balcony_railing_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony@clutchtime_balcony_railing_12:clutchtime_balcony_railing_low,,"[-1.0,-1.50995803e-07,0.0,0.0,-1.50995803e-07,1.0,-1.50995803e-07,0.0,2.27997332e-14,-1.50995803e-07,-1.0,0.0,1.32609177,789.231567,2321.06079,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_lights@light_ceilinga_round_85:light_ceilinga_round_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_lights@light_ceilinga_round_85:light_ceilinga_round_low,,"[7.54979013e-08,-1.0,0.0,0.0,1.0,7.54979013e-08,0.0,0.0,0.0,0.0,1.0,0.0,-929.172546,643.825256,-2396.93481,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_chairs@chair_arenacrowd_seatbackcushion_107:chair_arenacrowd_seatbackcushion_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_chairs@chair_arenacrowd_seatbackcushion_85:chair_arenacrowd_seatbackcushion_low,,"[-1.0,-1.50995803e-07,0.0,0.0,-1.50995803e-07,1.0,-1.50995803e-07,0.0,2.27997332e-14,-1.50995803e-07,-1.0,0.0,-156.758331,731.35791,2512.00195,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@mural_lights@lighting_suspendedtrack_metalb_19:lighting_suspendedtrack_metalb_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@mural_lights@lighting_suspendedtrack_metalb_19:lighting_suspendedtrack_metalb_low,,"[3.13916473e-07,0.0,1.0,0.0,-1.74512877e-07,1.0,5.47824657e-14,0.0,-1.0,-1.74512877e-07,3.13916473e-07,0.0,1744.26001,1490.65344,-1921.75659,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_lights@light_ceilinga_round_58:light_ceilinga_round_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_lights@light_ceilinga_round_85:light_ceilinga_round_low,,"[7.54979013e-08,-1.0,0.0,0.0,1.0,7.54979013e-08,0.0,0.0,0.0,0.0,1.0,0.0,929.281311,643.825256,-2396.93481,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@stands@clutchtime_stair_3step_0:clutchtime_stair_3step_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@stands@clutchtime_stair_3step_0:clutchtime_stair_3step_low,,"[7.54979013e-08,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.54979013e-08,0.0,-2349.08667,143.349854,57.4980087,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_lights@light_ceilinga_round_17:light_ceilinga_round_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony_lights@light_ceilinga_round_85:light_ceilinga_round_low,,"[7.54979013e-08,-1.0,0.0,0.0,1.0,7.54979013e-08,0.0,0.0,0.0,0.0,1.0,0.0,-928.75293,1259.34619,2396.93481,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@ceiling@clutchtime_ceiling_ribs_0:clutchtime_ceiling_ribs_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@ceiling@clutchtime_ceiling_ribs_0:clutchtime_ceiling_ribs_low,,"[1.94707184e-07,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,1.94707184e-07,0.0,1454.63721,1936.47546,25.6184063,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony@clutchtime_balcony_b_8:clutchtime_balcony_b_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony@clutchtime_balcony_b_8:clutchtime_balcony_b_low,,"[-1.0,-1.50995803e-07,0.0,0.0,-1.50995803e-07,1.0,-1.50995803e-07,0.0,2.27997332e-14,-1.50995803e-07,-1.0,0.0,-0.313018799,644.318787,2346.146,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony@clutchtime_balcony_c_1:clutchtime_balcony_c_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@balcony@clutchtime_balcony_c_1:clutchtime_balcony_c_low,,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,799.325806,38.9648972,-2394.875,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@Prototype_arena_curtains_prototype@Prototype_arena_curtains_prototype_0@curtain100x20_arena_straight500c_8:curtain100x20_arena_straight500c,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@Prototype_arena_curtains_prototype@Prototype_arena_curtains_prototype_0@curtain100x20_arena_straight500c_8:curtain100x20_arena_straight500c,,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,650.779907,150.346558,-2969.03101,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@walls@clutchtime_wall_c:clutchtime_wall_c_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@walls@clutchtime_wall_c:clutchtime_wall_c_low,,"[7.54979013e-08,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.54979013e-08,0.0,-1502.99402,0.0,-2489.29004,1.0]"
level.SCNE,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@stands@clutchtime_stair_3step_5:clutchtime_stair_3step_low,OBJECT,arena_clutchtime_int_master@arena_clutchtime_int_shared_layout@GameObjects@stands@clutchtime_stair_3step_0:clutchtime_stair_3step_low,,"[7.54979013e-08,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.54979013e-08,0.0,-3699.09009,743.342163,57.4980125,1.0]"
