scene_file,scene_root,section,count
baskets.SCNE,baskets,Effect,23
baskets.SCNE,baskets,Texture,61
baskets.SCNE,baskets,Material,46
baskets.SCNE,baskets,Model,3
baskets.SCNE,baskets,Object,7
crowd.SCNE,crowd,Transform,1
crowd.SCNE,crowd,Effect,1
crowd.SCNE,crowd,Texture,2
crowd.SCNE,crowd,Material,1
crowd.SCNE,crowd,Model,1
crowd.SCNE,crowd,Object,1
level.SCNE,level,Light,23
level.SCNE,level,Effect,34
level.SCNE,level,Texture,1759
level.SCNE,level,Material,69
level.SCNE,level,Model,67
level.SCNE,level,Object,860
level_floor_lightmaps.SCNE,level_floor_lightmaps,Texture,2
level_floor_lightmaps.SCNE,level_floor_lightmaps,Object,1
speedtree.SCNE,speedtree,Object,1
