scene_file,logical_name,width,height,mips,faces,format,texel_usage,pixel_data_size,binary,embedded
baskets.SCNE,%databuild_art_root%/substance_library/graphs/led_endofquarter_bulbs/exports/led_endofquarter_bulbs_yellow_basecolor.png,32,32,6,1,BC1_UNORM,,696,led_endofquarter_bulbs_yellow_basecolor.f5913e526dcb108c.tld,True
baskets.SCNE,%databuild_art_root%/material_library/glass_backboard_s/texture/glass_backboard_s_basecolor.png,2048,2048,12,1,BC7_UNORM,,5592432,glass_backboard_s_basecolor.dd69a0491926f005.tld,False
baskets.SCNE,%databuild_art_root%/asset_library/basket_rim_nba/texture/basket_rim_nba_mat_metallic.png,1024,1024,11,1,BC1_UNORM,LINEAR,699064,basket_rim_nba_mat_metallic.0f56705a75e020f5.tld,False
baskets.SCNE,NormalAndRoughMap#cd252798_1620,256,256,9,1,BC7_UNORM,LINEAR,87408,normalandroughmap.eff76e807f4ff4d5.tld,False
baskets.SCNE,%databuild_art_root%/asset_library/basket_stanchion_all/texture/basket_stanchioni_nba_bracket_ao.png,1024,1024,11,1,BC1_UNORM,LINEAR,699064,basket_stanchioni_nba_bracket_ao.210e444c1fefab44.tld,False
baskets.SCNE,NormalAndRoughMap#b7b59aa4_1323,1024,1024,11,1,BC7_UNORM,LINEAR,1398128,normalandroughmap.fd559d0a3c5312c2.tld,False
baskets.SCNE,AddOn2NormalAndRoughMap#e5fab78d_1448,512,512,10,1,BC7_UNORM,LINEAR,349552,addon2normalandroughmap.6ec9cfee85fc0d10.tld,False
baskets.SCNE,%databuild_art_root%/substance_library/graphs/led_endofquarter_bulbs/exports/led_endofquarter_bulbs_basecolor.png,32,32,6,1,BC1_UNORM,,696,led_endofquarter_bulbs_basecolor.9f7c3b135abb1333.tld,True
baskets.SCNE,NormalAndRoughMap#914a651a_1602,32,32,6,1,BC7_UNORM,LINEAR,1392,normalandroughmap.6f25999c8b862c25.tld,True
baskets.SCNE,arena_clutchtime_int_master@GameObjects@MAIN@basket0:basket,2048,2048,2,2,R11G11B10_FLOAT,LINEAR,41943040,basket.12f048dd974b2e20.tld,False
baskets.SCNE,%databuild_art_root%/asset_library/basket_stanchion_all/texture/tissot_logo_official_horizontal_en.png,1024,1024,11,1,BC7_UNORM,,1398128,tissot_logo_official_horizontal_en.34144ef7c90319f8.tld,False
baskets.SCNE,%databuild_art_root%/material_library/glass_backboard_s/texture/glass_backboard_s_roughness.png,2048,2048,12,1,BC1_UNORM,LINEAR,2796216,glass_backboard_s_roughness.d0d07b6fef221071.tld,False
baskets.SCNE,%databuild_art_root%/asset_library/basket_stanchion_all/texture/basket_stanchioni_nba_backboard_ao.png,1024,1024,11,1,BC1_UNORM,LINEAR,699064,basket_stanchioni_nba_backboard_ao.26a2d67393606d8c.tld,False
baskets.SCNE,%databuild_art_root%/asset_library/basket_stanchion_all/texture/basket_stanchioni_nba_shotclock_n.png,1024,1024,11,1,BC7_UNORM,NORMAL,1398128,basket_stanchioni_nba_shotclock_n.c4220e07a540a66d.tld,False
baskets.SCNE,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_c.tga,1024,1024,11,1,BC1_UNORM,,699064,timeboard_number_c.c60892ee0d09e046.tld,False
baskets.SCNE,NormalAndRoughMap#6176bddc_1623,1024,1024,11,1,BC7_UNORM,LINEAR,1398128,normalandroughmap.40b92c49660b77d1.tld,False
baskets.SCNE,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_number_big_c.tga,1024,1024,11,1,BC1_UNORM,,699064,timeboard_number_big_c.6e50feacabb27ed8.tld,False
baskets.SCNE,%databuild_art_root%/asset_library/basket_stanchion_all/texture/basket_stanchioni_nba_backboard_n.png,1024,1024,11,1,BC7_UNORM,NORMAL,1398128,basket_stanchioni_nba_backboard_n.f3a7b06a29e6b9d9.tld,False
baskets.SCNE,AddOn2NormalAndRoughMap#4f1a67d_1452,512,512,10,1,BC7_UNORM,LINEAR,349552,addon2normalandroughmap.b2794499b311bebd.tld,False
baskets.SCNE,AddOn2NormalAndRoughMap#d27a071e_1439,512,512,10,1,BC7_UNORM,LINEAR,349552,addon2normalandroughmap.1fd3598e81606c54.tld,False
baskets.SCNE,AddOn2NormalAndRoughMap#76f5fdfc_1450,512,512,10,1,BC7_UNORM,LINEAR,349552,addon2normalandroughmap.58ad451e23fec6a4.tld,False
baskets.SCNE,%databuild_art_root%/general/defaults/shader_referenced_textures/texturebasednoise/linear_pixel_noise_midtomin/linear_pixel_noise_midtomin.dds,64,64,7,1,BC1_UNORM,LINEAR,2744,linear_pixel_noise_midtomin.04d70b2a49821636.tld,True
baskets.SCNE,%databuild_art_root%/asset_library/basket_rim_nba/texture/basket_rim_nba_mat_ambientocclusion.png,1024,1024,11,1,BC1_UNORM,LINEAR,699064,basket_rim_nba_mat_ambientocclusion.dd5c1183ccf048cc.tld,False
baskets.SCNE,arena_clutchtime_int_master@GameObjects@MAIN@basket0:basket_linelightvisibility,2048,2048,2,1,R8_UNORM,LINEAR,5242880,basket_linelightvisibility.9c8f3cee81fe15c4.tld,False
baskets.SCNE,arena_clutchtime_int_master@GameObjects@MAIN@basket1:basket_linelightvisibility,2048,2048,2,1,R8_UNORM,LINEAR,5242880,basket_linelightvisibility.8119753364ed53e4.tld,False
baskets.SCNE,%databuild_art_root%/material_library/_generic_textures/grunges/substanceprocedural_dirt_4.tga,1024,1024,11,1,BC7_UNORM,,1398128,substanceprocedural_dirt_4.38c1835fd82819d3.tld,False
baskets.SCNE,%databuild_art_root%/substance_library/graphs/vinyl_matcover/exports/vinyl_matcover_normal.png,512,512,10,1,BC7_UNORM,NORMAL,349552,vinyl_matcover_normal.e126507d32d8a19e.tld,False
baskets.SCNE,%databuild_art_root%/material_library/_generic_textures/scratches/scratches_metal_heavy.tga,512,512,10,1,BC7_UNORM,,349552,scratches_metal_heavy.8f57ecb862b65e6f.tld,False
baskets.SCNE,%databuild_art_root%/asset_library/_generic_textures/basket_stanchion_textures/timeboard_c.tga,1024,1024,11,1,BC1_UNORM,,699064,timeboard_c.100a8db064bf303b.tld,False
